,lat,long,headings,segment_links
38.9096436_-77.0477199,38.9096436,-77.0477199,[],"['38.9092216_-77.0472746', '38.9096423_-77.04825895', '38.9096454_-77.0471775', '38.9092216_-77.0472746']"
38.9085711_-77.0487972,38.9085711,-77.0487972,[],"['38.9085687_-77.0493439', '38.908572500000005_-77.04825724999999', '38.909106050000005_-77.0487976', '38.9085687_-77.0493439']"
38.9023974_-77.0466515,38.9023974,-77.0466515,[],"['38.90239685_-77.046266', '38.90186205_-77.04665109999999']"
38.9052445_-77.0570287,38.9052445,-77.0570287,[],"['38.9049391_-77.0570262', '38.9052448_-77.0573601', '38.905671_-77.0570396', '38.9049391_-77.0570262']"
38.8954395_-77.0449248,38.8954395,-77.0449248,[],"['38.89542913333334_-77.0444403', '38.8959561_-77.0449203']"
38.9096411_-77.049533,38.9096411,-77.049533,[],"['38.90996406666667_-77.04995486666667', '38.90964524_-77.05011498', '38.9096402_-77.0493381', '38.9096402_-77.0493381']"
38.8993468_-77.0530461,38.8993468,-77.0530461,[],"['38.8995777_-77.0528363', '38.8994043_-77.0533298']"
38.903748_-77.0559091,38.903748,-77.0559091,[],['38.903748750000005_-77.0555035']
38.9027349_-77.0494689,38.9027349,-77.0494689,[],['38.9029695_-77.0497107']
38.9058651_-77.0405079,38.9058651,-77.0405079,[],"['38.90604_-77.04000705', '38.9056846_-77.0410545', '38.9056846_-77.0410545']"
38.9093292_-77.0517182,38.9093292,-77.0517182,[],"['38.9090144_-77.0513545', '38.909495500000006_-77.05208055']"
38.9096618_-77.0524429,38.9096618,-77.0524429,[],"['38.90965766_-77.05186092', '38.909495500000006_-77.05208055', '38.909592775_-77.053022325']"
38.8962365_-77.0485797,38.8962365,-77.0485797,[],"['38.8960168_-77.0486557', '38.8960156_-77.0481646']"
38.8994043_-77.0533298,38.8994043,-77.0533298,[],['38.8993376_-77.0535334']
38.8995846_-77.0541627,38.8995846,-77.0541627,[],['38.899168625_-77.053875325']
38.9052411_-77.0581191,38.9052411,-77.0581191,[],"['38.90566405_-77.05812065', '38.904702979999996_-77.05810684', '38.905233499999994_-77.05864145', '38.9051235_-77.05776025']"
38.9026491_-77.051416,38.9026491,-77.051416,[],"['38.9024153_-77.051421', '38.90264893333333_-77.05196736666667', '38.9029901_-77.0514153', '38.9024153_-77.051421', '38.9029901_-77.0514153']"
38.9102112_-77.0547705,38.9102112,-77.0547705,[],"['38.9102179_-77.0541554', '38.9102045_-77.0551602', '38.90979845_-77.05476555', '38.9102045_-77.0551602', '38.9102179_-77.0541554']"
38.9102045_-77.0551602,38.9102045,-77.0551602,[],"['38.9102112_-77.0547705', '38.9102112_-77.0547705', '38.9097895_-77.0553883', '38.9105901_-77.0549495', '38.9105901_-77.0549495']"
38.9024153_-77.051421,38.9024153,-77.051421,[],"['38.9026491_-77.051416', '38.9026491_-77.051416', '38.9023368_-77.050763', '38.90198543333334_-77.0514234']"
38.9023368_-77.050763,38.9023368,-77.050763,[],['38.9020939_-77.0505234']
38.9020939_-77.0497251,38.9020939,-77.0497251,[],"['38.90209175_-77.0492737', '38.9021712_-77.0496241']"
38.9101148_-77.0439701,38.9101148,-77.0439701,[],['38.90997_-77.0441247']
38.8952606_-77.0466916,38.8952606,-77.0466916,[],[]
38.8960245_-77.0466867,38.8960245,-77.0466867,[],"['38.89602295_-77.0472796', '38.895721050000006_-77.0466887']"
38.89958_-77.046659,38.89958,-77.046659,[],"['38.8991713_-77.04666293333334', '38.899581233333336_-77.04607086666667', '38.899579925_-77.047204925']"
38.9006965_-77.0466537,38.9006965,-77.0466537,[],"['38.9007721_-77.04597455', '38.90069615_-77.04719797499999', '38.90032433333334_-77.04665546666666']"
38.9025289_-77.0466508,38.9025289,-77.0466508,[],"['38.902533489999996_-77.04732342999999', '38.9023974_-77.0466515', '38.9025298_-77.0462875', '38.9025298_-77.0462875']"
38.9037343_-77.0466524,38.9037343,-77.0466524,[],"['38.90319065_-77.04665125', '38.903734033333336_-77.04606973333333']"
38.9056237_-77.046642,38.9056237,-77.046642,[],"['38.905455149999995_-77.0470873', '38.90515135_-77.04664460000001']"
38.906225_-77.0466407,38.906225,-77.0466407,[],"['38.9058578_-77.0470084', '38.90592435_-77.04664135', '38.90656606666666_-77.04632696666667', '38.9058578_-77.0470084']"
38.9072435_-77.0466417,38.9072435,-77.0466417,[],"['38.90673425_-77.0466412', '38.9072443_-77.04718212499999']"
38.9079079_-77.0466383,38.9079079,-77.0466383,[],['38.907575699999995_-77.04664']
38.9085767_-77.0466374,38.9085767,-77.0466374,[],"['38.908575299999995_-77.04717735', '38.9085773_-77.04619735', '38.9082423_-77.04663785']"
38.9096472_-77.0466351,38.9096472,-77.0466351,[],"['38.9096454_-77.0471775', '38.9096488_-77.046198', '38.909111949999996_-77.04663625']"
38.9107564_-77.0466301,38.9107564,-77.0466301,[],"['38.9109457_-77.04716815', '38.910553_-77.04604436666666', '38.91038666666667_-77.04663176666666']"
38.9111415_-77.0466302,38.9111415,-77.0466302,[],"['38.9107564_-77.0466301', '38.91114016666667_-77.04604856666667']"
38.9118752_-77.0466316,38.9118752,-77.0466316,[],"['38.911875599999995_-77.04604896666666', '38.91150835_-77.0466309']"
38.9126096_-77.0466304,38.9126096,-77.0466304,[],"['38.9122424_-77.04663099999999', '38.9126091_-77.0470969']"
38.9002232_-77.0379737,38.9002232,-77.0379737,[],"['38.90059303333333_-77.03815646666666', '38.8998586_-77.0379333', '38.8998586_-77.0379333']"
38.9118764_-77.0448837,38.9118764,-77.0448837,[],['38.911507349999994_-77.0446729']
38.9068806_-77.055803,38.9068806,-77.055803,[],"['38.90729745_-77.05581135', '38.90661956666667_-77.05621883333333', '38.90687525_-77.05643315']"
38.9077143_-77.0558197,38.9077143,-77.0558197,[],"['38.9081305_-77.05582799999999', '38.90729745_-77.05581135', '38.90772_-77.0552587', '38.90770635_-77.0564473', '38.90772_-77.0552587']"
38.9085467_-77.0558363,38.9085467,-77.0558363,[],"['38.908989_-77.0558272', '38.9081305_-77.05582799999999', '38.9085372_-77.0564648', '38.908826366666666_-77.05547773333333', '38.908989_-77.0558272']"
38.908989_-77.0558272,38.908989,-77.0558272,[],"['38.9085467_-77.0558363', '38.9085467_-77.0558363', '38.9089835_-77.0563676', '38.9093745_-77.0556164', '38.9093745_-77.0556164']"
38.9093745_-77.0556164,38.9093745,-77.0556164,[],"['38.908989_-77.0558272', '38.9097895_-77.0553883', '38.908989_-77.0558272', '38.9093686_-77.05611476666667', '38.9093801_-77.0551885']"
38.9105901_-77.0549495,38.9105901,-77.0549495,[],"['38.9102045_-77.0551602', '38.9108219_-77.0544439', '38.910581_-77.05549862500001', '38.9102045_-77.0551602', '38.910663185714284_-77.05433691428571']"
38.8981673_-77.0521109,38.8981673,-77.0521109,[],['38.8978568_-77.0515652']
38.8983363_-77.0394601,38.8983363,-77.0394601,[],"['38.8988162_-77.0394602', '38.8978487_-77.0394625', '38.89833935_-77.0400217', '38.8988162_-77.0394602']"
38.8983485_-77.0417065,38.8983485,-77.0417065,[],"['38.898764799999995_-77.04170656666668', '38.898348033333335_-77.042295']"
38.8983471_-77.043472,38.8983471,-77.043472,[],"['38.897854699999996_-77.04347179999999', '38.89834523333334_-77.04394889999999']"
38.8983415_-77.0449027,38.8983415,-77.0449027,[],"['38.898755566666665_-77.0449', '38.898345633333335_-77.04549206666667']"
38.8983412_-77.0488582,38.8983412,-77.0488582,[],"['38.89834585_-77.04949605', '38.89875403333333_-77.04885303333333']"
38.8983505_-77.0501339,38.8983505,-77.0501339,[],"['38.898345649999996_-77.0507873', '38.89876176666667_-77.05013203333334', '38.89785535_-77.05014015']"
38.8983408_-77.0514407,38.8983408,-77.0514407,[],"['38.897972_-77.0514714', '38.89875403333333_-77.05143826666666', '38.8982506_-77.052035', '38.897972_-77.0514714']"
38.9085779_-77.0457573,38.9085779,-77.0457573,[],"['38.90911414999999_-77.0457591', '38.9085773_-77.04619735', '38.9085774_-77.04531155000001']"
38.9096504_-77.0457609,38.9096504,-77.0457609,[],"['38.9096488_-77.046198', '38.9096509_-77.04531245000001']"
38.9079052_-77.0434465,38.9079052,-77.0434465,[],['38.907575449999996_-77.04344725']
38.9081325_-77.0448588,38.9081325,-77.0448588,[],"['38.9079086_-77.0450749', '38.9085769_-77.0448658', '38.9085732_-77.0444605', '38.9085769_-77.0448658', '38.9079086_-77.0450749', '38.9085732_-77.0444605']"
38.9111394_-77.0420506,38.9111394,-77.0420506,[],"['38.91072985_-77.04243305', '38.9115621_-77.0416571', '38.9111423_-77.0416561', '38.9115621_-77.0416571']"
38.9115621_-77.0416571,38.9115621,-77.0416571,[],"['38.9111394_-77.0420506', '38.9111394_-77.0420506', '38.9118772_-77.0416566', '38.9118774_-77.0413586', '38.9111423_-77.0416561', '38.9118774_-77.0413586', '38.9111423_-77.0416561', '38.9118772_-77.0416566']"
38.9118774_-77.0413586,38.9118774,-77.0413586,[],"['38.9115621_-77.0416571', '38.911877780000005_-77.0407912', '38.9122441_-77.04101370000001', '38.9115621_-77.0416571']"
38.9126108_-77.0406688,38.9126108,-77.0406688,[],"['38.9126094_-77.04116195', '38.9122441_-77.04101370000001']"
38.9037391_-77.048815,38.9037391,-77.048815,[],"['38.9039252_-77.0488138', '38.9037379_-77.04827435']"
38.9052866_-77.0475326,38.9052866,-77.0475326,[],"['38.904946249999995_-77.0478529', '38.90527444999999_-77.0481728', '38.905572199999995_-77.0472705']"
38.9058578_-77.0470084,38.9058578,-77.0470084,[],"['38.906225_-77.0466407', '38.905572199999995_-77.0472705', '38.906225_-77.0466407']"
38.9072482_-77.0456995,38.9072482,-77.0456995,[],"['38.907245849999995_-77.0461706', '38.906907133333334_-77.04601323333333', '38.9075784_-77.0453872']"
38.9011257_-77.0514282,38.9011257,-77.0514282,[],"['38.901448433333336_-77.0511266', '38.9007027_-77.0518355', '38.901555566666666_-77.0514258', '38.9007004_-77.0514291', '38.9007004_-77.0514291', '38.9007027_-77.0518355']"
38.8973637_-77.0548521,38.8973637,-77.0548521,[],"['38.897738333333336_-77.05445143333334', '38.89736645_-77.05432465000001', '38.897369850000004_-77.05535895']"
38.8956385_-77.0474213,38.8956385,-77.0474213,[],"['38.895449549999995_-77.04705645', '38.8957588_-77.0473841']"
38.9013327_-77.038522,38.9013327,-77.038522,[],"['38.90096286666667_-77.03833923333333', '38.90187345_-77.03852075', '38.9013308_-77.03898434999999']"
38.9025308_-77.0385188,38.9025308,-77.0385188,[],"['38.9024142_-77.0385195', '38.9025304_-77.0389524', '38.9026453_-77.0385185', '38.9024142_-77.0385195', '38.9026453_-77.0385185']"
38.9047643_-77.0385125,38.9047643,-77.0385125,[],"['38.904280099999994_-77.03851345', '38.9052039_-77.03850985']"
38.9065647_-77.0385045,38.9065647,-77.0385045,[],"['38.9063898_-77.03900535', '38.9069065_-77.03850109999999', '38.90671165_-77.03808755', '38.90613435_-77.03850595']"
38.9072483_-77.0384977,38.9072483,-77.0384977,[],"['38.9072476_-77.03808215', '38.9075901_-77.03849435', '38.9069065_-77.03850109999999']"
38.9079319_-77.038491,38.9079319,-77.038491,[],"['38.90815316_-77.03912788', '38.907785450000006_-77.03807359999999', '38.9075901_-77.03849435']"
38.9087022_-77.0384833,38.9087022,-77.0384833,[],['38.90831705_-77.03848715']
38.9096516_-77.0384891,38.9096516,-77.0384891,[],"['38.90965204_-77.03912486', '38.9091769_-77.0384862']"
38.9103892_-77.0385233,38.9103892,-77.0385233,[],"['38.91039032_-77.03915033999999', '38.91002039999999_-77.0385062']"
38.9111395_-77.0385218,38.9111395,-77.0385218,[],['38.910764349999994_-77.03852255']
38.9118793_-77.0385216,38.9118793,-77.0385216,[],['38.9115094_-77.03852169999999']
38.91261_-77.038494,38.91261,-77.038494,[],"['38.9126102_-77.0390377', '38.912244650000005_-77.03850779999999']"
38.8964164_-77.0394673,38.8964164,-77.0394673,[],"['38.8964172_-77.0400945', '38.895912800000005_-77.0394689', '38.8969245_-77.0394639', '38.8969245_-77.0394639']"
38.8973611_-77.0394649,38.8973611,-77.0394649,[],"['38.8978487_-77.0394625', '38.8969245_-77.0394639', '38.8969245_-77.0394639']"
38.9002251_-77.0394543,38.9002251,-77.0394543,[],"['38.90059303333334_-77.03945176666667', '38.89975546666667_-77.03945626666666', '38.900224466666664_-77.03896076666666']"
38.9013289_-77.0394467,38.9013289,-77.0394467,[],"['38.9016742_-77.03944634999999', '38.901329075_-77.0400102', '38.900960966666666_-77.03944923333333']"
38.90253_-77.039386,38.90253,-77.039386,[],"['38.9026501_-77.0395159', '38.9025298_-77.0395134', '38.9028154_-77.0393936', '38.9025304_-77.0389524', '38.9025298_-77.0395134']"
38.9047623_-77.0405191,38.9047623,-77.0405191,[],"['38.90476296666667_-77.03985023333333', '38.905204_-77.04077559999999']"
38.9068586_-77.0376706,38.9068586,-77.0376706,[],"['38.90671165_-77.03808755', '38.9072469_-77.0376666', '38.9072469_-77.0376666']"
38.9056846_-77.0410545,38.9056846,-77.0410545,[],"['38.9058651_-77.0405079', '38.905644_-77.0411992', '38.90605076666667_-77.04126423333334', '38.9058651_-77.0405079']"
38.8995822_-77.04347,38.8995822,-77.04347,[],"['38.899587266666664_-77.04288223333333', '38.899582699999996_-77.04394486666666', '38.8991705_-77.04347066666666']"
38.8995837_-77.0448946,38.8995837,-77.0448946,[],"['38.89995893333333_-77.04489336666667', '38.8995832_-77.04441973333334', '38.899582466666665_-77.04548273333334']"
38.8995797_-77.0488427,38.8995797,-77.0488427,[],"['38.8999515_-77.04883873333333', '38.899579775_-77.048296775', '38.899581999999995_-77.0494855']"
38.8995843_-77.0501283,38.8995843,-77.0501283,[],"['38.899581999999995_-77.0494855', '38.899173033333334_-77.05013016666666', '38.8995824_-77.05078085', '38.899956_-77.05012503333333']"
38.8995805_-77.0514334,38.8995805,-77.0514334,[],"['38.8999538_-77.05143196666666', '38.899167266666666_-77.05143583333333', '38.8995824_-77.05078085', '38.8995791_-77.05213484999999']"
38.8996655_-77.0533108,38.8996655,-77.0533108,[],"['38.8993389_-77.0535872', '38.90018435_-77.0533107']"
38.9002289_-77.0417016,38.9002289,-77.0417016,[],"['38.9005958_-77.0417013', '38.90022795_-77.041139775']"
38.9096514_-77.044864,38.9096514,-77.044864,[],"['38.9096505_-77.0446206', '38.9096509_-77.04531245000001', '38.90911415_-77.0448649', '38.9101462_-77.0448729', '38.9101462_-77.0448729', '38.9096505_-77.0446206']"
38.909641_-77.048798,38.909641,-77.048798,[],"['38.9096423_-77.04825895', '38.9101399_-77.04877933333334', '38.9096402_-77.0493381', '38.9096402_-77.0493381']"
38.9096402_-77.0493381,38.9096402,-77.0493381,[],"['38.9096411_-77.049533', '38.909641_-77.048798', '38.9096411_-77.049533', '38.90910445_-77.049341', '38.909641_-77.048798']"
38.9093857_-77.0547606,38.9093857,-77.0547606,[],"['38.90910603333334_-77.05511916666666', '38.9093801_-77.0551885', '38.909454725_-77.054181175', '38.90979845_-77.05476555']"
38.9093568_-77.0571115,38.9093568,-77.0571115,[],"['38.90975576666666_-77.057123', '38.908942249999996_-77.0571024', '38.909352049999995_-77.05764815', '38.909362699999996_-77.05661313333334']"
38.9093473_-77.0581848,38.9093473,-77.0581848,[],"['38.909745_-77.05819190000001', '38.9089292_-77.0581736', '38.90934155_-77.05870875', '38.909352049999995_-77.05764815']"
38.9093358_-77.0592327,38.9093358,-77.0592327,[],"['38.9097785_-77.0592464', '38.90891635_-77.0592268', '38.90934155_-77.05870875', '38.9097785_-77.0592464']"
38.9096538_-77.0416679,38.9096538,-77.0416679,[],"['38.9100243_-77.04166319999999', '38.9096548_-77.0422719', '38.909346_-77.04167165', '38.90965336_-77.04103214', '38.9096548_-77.0422719']"
38.9067831_-77.0416837,38.9067831,-77.0416837,[],"['38.907253_-77.0416825', '38.9072529_-77.041951']"
38.9064658_-77.0434498,38.9064658,-77.0434498,[],['38.9060556_-77.0434501']
38.8959887_-77.0417107,38.8959887,-77.0417107,[],"['38.895988833333334_-77.04229656666666', '38.896445899999996_-77.04171066666666']"
38.8960156_-77.0481646,38.8960156,-77.0481646,[],"['38.896016_-77.048523', '38.895827049999994_-77.04779295']"
38.8960357_-77.0501351,38.8960357,-77.0501351,[],"['38.89605775_-77.05082300000001', '38.8965376_-77.05013955000001']"
38.8954044_-77.0417128,38.8954044,-77.0417128,[],"['38.8954056_-77.04115222499999', '38.89569655_-77.04171174999999']"
38.8954084_-77.0434713,38.8954084,-77.0434713,[],['38.895407066666664_-77.04288513333333']
38.9025758_-77.0601338,38.9025758,-77.0601338,[],"['38.90257735_-77.0596209', '38.9030289_-77.0601375', '38.9030289_-77.0601375']"
38.9052141_-77.0601722,38.9052141,-77.0601722,[],['38.90522_-77.05966799999999']
38.9007004_-77.0514291,38.9007004,-77.0514291,[],"['38.9011257_-77.0514282', '38.9007027_-77.0518355', '38.9011257_-77.0514282', '38.9003271_-77.05143053333333', '38.9007027_-77.0518355']"
38.9029901_-77.0514153,38.9029901,-77.0514153,[],"['38.9026491_-77.051416', '38.9027168_-77.0509825', '38.90336245_-77.05141230000001', '38.903212366666665_-77.05204446666667', '38.9026491_-77.051416']"
38.9037348_-77.0514093,38.9037348,-77.0514093,[],"['38.9037366_-77.05076145000001', '38.904241266666666_-77.05140920000001', '38.90336245_-77.05141230000001']"
38.9052542_-77.051409,38.9052542,-77.051409,[],"['38.90575315_-77.05140850000001', '38.90474773333334_-77.0514091', '38.9052541_-77.05203966666667']"
38.90725_-77.051407,38.90725,-77.051407,[],"['38.90675105_-77.0514075', '38.90685078_-77.0517858', '38.907249199999995_-77.050754']"
38.9052259_-77.0591638,38.9052259,-77.0591638,[],"['38.9056525_-77.05916934999999', '38.905233499999994_-77.05864145', '38.9046965_-77.05915264', '38.90522_-77.05966799999999']"
38.9060791_-77.0591749,38.9060791,-77.0591749,[],"['38.90608305_-77.05864855', '38.9064633_-77.05918034999999', '38.9056525_-77.05916934999999']"
38.9068475_-77.0591858,38.9068475,-77.0591858,[],"['38.906852549999996_-77.05865635', '38.90725985_-77.05919505', '38.9064633_-77.05918034999999']"
38.9076722_-77.0592043,38.9076722,-77.0592043,[],"['38.90808455_-77.0592126', '38.90725985_-77.05919505', '38.90767925_-77.05867485']"
38.9084969_-77.0592209,38.9084969,-77.0592209,[],"['38.908504_-77.05869165', '38.90891635_-77.0592268', '38.90808455_-77.0592126']"
38.9105292_-77.0592624,38.9105292,-77.0592624,[],"['38.9109146_-77.05926825', '38.91015385_-77.0592544', '38.9105348_-77.05873425']"
38.9113_-77.0592741,38.9113,-77.0592741,[],"['38.9116175_-77.05928035', '38.9109146_-77.05926825']"
38.911935_-77.0592866,38.911935,-77.0592866,[],"['38.91224445_-77.0592886', '38.9116175_-77.05928035']"
38.9125539_-77.0592906,38.9125539,-77.0592906,[],"['38.91224445_-77.0592886', '38.91256165_-77.0587693']"
38.8964172_-77.0400945,38.8964172,-77.0400945,[],['38.89627436666667_-77.04063323333332']
38.9006994_-77.0501185,38.9006994,-77.0501185,[],"['38.90069725_-77.04947465000001', '38.9010936_-77.0501163', '38.9003277_-77.05012176666666']"
38.9007032_-77.0533106,38.9007032,-77.0533106,[],"['38.901139400000005_-77.05330645000001', '38.90018435_-77.0533107', '38.9009688_-77.05378816666666', '38.900703033333336_-77.0528189']"
38.9013296_-77.0417007,38.9013296,-77.0417007,[],"['38.9013296_-77.0422882', '38.9018623_-77.04170125']"
38.9013296_-77.0434632,38.9013296,-77.0434632,[],"['38.90133313333333_-77.04393643333334', '38.9009575_-77.04346460000001']"
38.9015_-77.0547433,38.9015,-77.0547433,[],"['38.901499_-77.05438905', '38.9012344_-77.05426573333334', '38.901802266666664_-77.0542626']"
38.905253_-77.0547495,38.905253,-77.0547495,[],"['38.9056532_-77.054748', '38.90488283333333_-77.05474803333334', '38.905250875_-77.05531930000001', '38.9056532_-77.054748']"
38.9111423_-77.0416561,38.9111423,-77.0416561,[],"['38.9115621_-77.0416571', '38.91114174_-77.04102924', '38.91076855_-77.0416573', '38.9115621_-77.0416571']"
38.9111405_-77.0434362,38.9111405,-77.0434362,[],"['38.9115065_-77.04343610000001', '38.911139950000006_-77.0427434']"
38.9111375_-77.0448853,38.9111375,-77.0448853,[],"['38.910641850000005_-77.0448791', '38.9111383_-77.0444621']"
38.911135_-77.0477062,38.911135,-77.0477062,[],"['38.9109457_-77.04716815', '38.9113067_-77.04820634999999', '38.91113825_-77.04716819999999']"
38.9111377_-77.048742,38.9111377,-77.048742,[],"['38.9111257_-77.0493818', '38.91113635_-77.0482241', '38.9114784_-77.0487065']"
